Domain,Alarm_Clock,Backpack,Batteries,Bed,Bike,Bottle,Bucket,Calculator,Calendar,Candles,Chair,Clipboards,Computer,Couch,Curtains,Desk_Lamp,Drill,Eraser,Exit_Sign,Fan,File_Cabinet,Flipflops,Flowers,Folder,Fork,Glasses,Hammer,Helmet,Kettle,Keyboard,Knives,Lamp_Shade,Laptop,Marker,Monitor,Mop,Mouse,Mug,Notebook,Oven,Pan,Paper_Clip,Pen,Pencil,Postit_Notes,Printer,Push_Pin,Radio,Refrigerator,Ruler,Scissors,Screwdriver,Shelf,Sink,Sneakers,Soda,Speaker,Spoon,TV,Table,Telephone,ToothBrush,Toys,Trash_Can,Webcam
Clipart,68.75,66.67,26.79,22.22,73.08,48.75,60.71,81.58,60.94,33.33,70.24,21.21,15.28,23.53,75.00,27.59,32.50,12.90,94.29,59.46,80.00,83.87,52.50,63.22,36.96,73.91,59.26,70.69,72.41,49.35,61.54,78.79,86.42,15.62,78.67,21.88,64.52,63.29,32.81,50.00,59.52,60.00,55.84,28.57,3.12,50.67,29.41,38.24,35.29,73.58,89.61,27.27,21.21,5.56,71.43,12.77,68.83,24.00,60.76,68.85,18.18,52.00,18.92,55.00,50.00
Product,84.38,98.77,75.47,60.00,97.14,66.00,100.00,98.48,87.14,60.87,81.01,14.55,30.77,95.59,83.33,58.82,96.36,32.35,84.00,60.87,84.62,26.74,92.65,67.14,58.82,94.23,78.57,91.43,91.67,96.20,76.67,84.62,84.42,13.64,96.25,54.55,82.28,91.43,50.00,87.27,75.47,64.29,73.91,61.29,29.03,100.00,32.26,68.97,90.00,92.00,89.29,85.71,32.50,74.29,87.65,80.65,70.27,84.21,38.98,80.85,16.28,51.43,61.54,83.82,67.95
Real World,92.86,98.63,96.23,83.58,100.00,78.33,81.54,98.28,100.00,98.73,89.74,17.65,56.00,73.77,91.84,68.00,68.18,62.16,82.81,78.85,78.72,73.13,100.00,69.57,48.28,91.84,78.57,95.83,83.02,90.00,92.19,90.16,96.23,5.00,65.52,72.73,89.58,93.62,74.00,62.96,78.26,56.60,94.23,64.00,17.24,100.00,67.39,84.21,91.80,88.24,93.44,71.11,53.57,71.19,97.30,73.47,76.47,82.61,55.56,77.78,78.95,61.29,68.42,64.29,73.68
